Week,GeoCode,KPI,seasonality,base_price,acv_distribution,price_discount,feature,display,feature_display,video,audio,digital_display,search,OOH,PR,samples
2019-10-07,geo1,42.74968262,1.120095012,4.230080596,52.79853909,7.260108933,0,1.940543995,0,0,0,0,0,0,0.062256772,0
2019-10-14,geo1,40.782972199999996,1.045037689,4.259696817,52.33964203,8.066811605,2.471166794,2.364828041,0,0,0,0,0,0,16.42336056,0
2019-10-21,geo1,41.86913635,1.012463571,4.244758776,52.70569807,8.751507557,0.814381932,3.4050326,0,0,0,0,0,0,1.308320358,0
2019-10-28,geo1,40.312439919999996,1.015617022,4.238518496,52.90092481,8.282001279,3.593629143,0,0,0,0,0,0,0,0.062256772,0
2019-11-04,geo1,49.44413693,1.042755603,4.202501801,54.81288016,9.229683623,10.1974271,0,2.176539244,0,0,0,0,0,0.062256772,0
2019-11-11,geo1,45.706534330000004,0.999794045,4.18779907,54.36795705,9.501476165,3.89887729,2.761339803,0,0,0,0,0,0,0.062256772,0
2019-11-18,geo1,40.972286679999996,0.860915146,4.230992723,52.60950203,8.04639066,0.754095298,0.842643822,0,0,0,0,0,0,0.062256772,0
2019-11-25,geo1,33.08796754,0.856772988,4.204549097,52.7236508,9.573400921,4.049724575,0.063774684,0,0,0,0,0,0,0.062256772,0
2019-12-02,geo1,40.036512009999996,0.971044797,4.225339022,54.27564513,8.541233941,4.93098767,0,2.894898233,0,0,0,0,0,0,0
2019-12-09,geo1,40.48258076,0.898476671,4.189943532,53.93030399,7.687543672,3.182486683,0,0,0,0,0,0,0,0,0
2019-12-16,geo1,37.80608292,0.835061797,4.214463491,52.41207295,7.885978745,0,0,0,0,0,0,0,0,0,0
2019-12-23,geo1,29.78879542,0.67040908,4.260081915,51.38853451,8.961767615,2.64203864,2.861224216,0,0,0,0,0,0,0,0
2019-12-30,geo1,40.06786995,0.938309853,4.234205369,54.31604773,7.961676766,3.335997861,0,3.860359299,0.152340913,0,0,98.4,0,0,0
2020-01-06,geo1,43.71886673,1.045720626,4.215651332,54.5778326,7.233717693,1.247932736,0,0,0.389037345,0,0,204.9508,0,0,0
2020-01-13,geo1,42.89197031,1.037485009,4.205892944,54.40405997,8.889999913,4.06520453,0,0,0.221799621,0,0,186.77270000000001,0,0,0
2020-01-20,geo1,42.27715028,1.027178862,4.224532839,54.71129906,7.806057095,8.962509953,0,4.752849551,0.211051198,0,0,212.59009999999998,0,0,0
2020-01-27,geo1,43.534608719999994,1.070085219,4.213469252,53.45211297,8.899257341,1.708758473,0.182007794,0,0.425349699,0,0,199.4478,0,1.558261145,0
2020-02-03,geo1,43.16562251,1.024879983,4.210445054,54.16049598,7.712499231,2.180664556,0.588399224,2.982781634,0.48302734,0,0,177.6892,0,0,0
2020-02-10,geo1,43.24154552,0.992148724,4.196304984,54.09076814,7.870042617,4.047099387,1.821886344,2.907543262,0.380967631,0,0,202.6309,0,0,0
2020-02-17,geo1,41.82707499,0.996118484,4.213665312,54.36326743,5.965002042,2.499666203,1.098638264,0,0.438039042,0,0,191.1576,0,0,0
2020-02-24,geo1,43.36081913,1.055146742,4.235509201,52.73100957,7.752064822,0.037849987,0,0,0.495394759,0,0,215.1512,0,0.054863082,0
2020-03-02,geo1,44.98808094,1.078962701,4.221188668,53.57383424,6.672353026,4.289919479,0,2.986445454,0.748081611,0,0,224.4183,0,0.008495565,0
2020-03-09,geo1,57.90026027,1.083286821,4.228421282,53.89746759,5.051154739,2.011145367,0,0,2.246279337,0,0,174.0114,0,0,0
2020-03-16,geo1,52.050370949999994,1.041123976,4.20330515,53.9407895,5.156437534,2.685344257,0,0,2.846667063,0,0,270.45279999999997,0,0.923635243,0
2020-03-23,geo1,40.646630689999995,1.013683588,4.210759269,53.2567867,5.561447205,7.986385054,0,0,1.848970959,0,0,209.33710000000002,0,0,0
2020-03-30,geo1,43.749505920000004,1.032566736,4.202867494,53.6289435,4.321092328,1.620735694,0,0,1.44340253,0,0,191.68110000000001,0,0,0
2020-04-06,geo1,41.48117641,1.011210818,4.189868309,51.7766612,4.696765902,1.540526292,0,0,1.091448246,0,0,231.6466,0,0,0
2020-04-13,geo1,43.19338181,0.982411909,4.182653838,53.361804,5.435761857,5.16835558,0,0,0.571598583,0,0,155.6195,0,0,0
